BTS ASCII format

Type:         	Force 3D tracks
Measure unit: 	N

Tracks:       	2
Frequency:    	240 Hz
Frames:       	5324
Start time:   	0.000

 Frame	  Time	    r gr.X	    r gr.Y	    r gr.Z	    l gr.X	    l gr.Y	    l gr.Z	
   286	 1.192	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   287	 1.196	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   288	 1.200	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   289	 1.204	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   290	 1.208	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   291	 1.212	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   292	 1.217	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   293	 1.221	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   294	 1.225	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   295	 1.229	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   296	 1.233	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   297	 1.237	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   298	 1.242	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   299	 1.246	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   300	 1.250	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   301	 1.254	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   302	 1.258	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   303	 1.263	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   304	 1.267	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   305	 1.271	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   306	 1.275	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   307	 1.279	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   308	 1.283	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   309	 1.288	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   310	 1.292	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   311	 1.296	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   312	 1.300	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   313	 1.304	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   314	 1.308	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   315	 1.313	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   316	 1.317	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   317	 1.321	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   318	 1.325	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   319	 1.329	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   320	 1.333	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   321	 1.337	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   322	 1.342	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   323	 1.346	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   324	 1.350	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   325	 1.354	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   326	 1.358	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   327	 1.362	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   328	 1.367	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   329	 1.371	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   330	 1.375	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   331	 1.379	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   332	 1.383	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   333	 1.388	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   334	 1.392	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   335	 1.396	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   336	 1.400	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   337	 1.404	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   338	 1.408	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   339	 1.413	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   340	 1.417	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   341	 1.421	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   342	 1.425	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   343	 1.429	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   344	 1.433	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
