BTS ASCII format

Type:         	Point 3D tracks
Measure unit: 	m

Tracks:       	1
Frequency:    	240 Hz
Frames:       	2737
Start time:   	0.000

 Frame	  Time	    l gr.X	    l gr.Y	    l gr.Z	
   420	 1.750	     0.091	     0.006	    -0.158	
   421	 1.754	     0.090	     0.006	    -0.159	
   422	 1.758	     0.091	     0.006	    -0.158	
   423	 1.763	     0.090	     0.006	    -0.158	
   424	 1.767	     0.090	     0.006	    -0.159	
   425	 1.771	     0.090	     0.006	    -0.158	
   426	 1.775	     0.090	     0.006	    -0.158	
   427	 1.779	     0.090	     0.006	    -0.158	
   428	 1.783	     0.090	     0.006	    -0.158	
   429	 1.788	     0.090	     0.006	    -0.159	
   430	 1.792	     0.090	     0.006	    -0.158	
   431	 1.796	     0.090	     0.006	    -0.159	
   432	 1.800	     0.090	     0.006	    -0.158	
   433	 1.804	     0.090	     0.006	    -0.158	
   434	 1.808	     0.090	     0.006	    -0.158	
   435	 1.813	     0.090	     0.006	    -0.159	
   436	 1.817	     0.090	     0.006	    -0.158	
   437	 1.821	     0.090	     0.006	    -0.158	
   438	 1.825	     0.090	     0.006	    -0.159	
   439	 1.829	     0.090	     0.006	    -0.158	
   440	 1.833	     0.090	     0.006	    -0.158	
   441	 1.837	     0.090	     0.006	    -0.158	
   442	 1.842	     0.090	     0.006	    -0.158	
   443	 1.846	     0.090	     0.006	    -0.158	
   444	 1.850	     0.090	     0.006	    -0.158	
   445	 1.854	     0.090	     0.006	    -0.158	
   446	 1.858	     0.090	     0.006	    -0.158	
   447	 1.862	     0.090	     0.006	    -0.158	
   448	 1.867	     0.090	     0.006	    -0.158	
   449	 1.871	     0.090	     0.006	    -0.158	
   450	 1.875	     0.090	     0.006	    -0.158	
   451	 1.879	     0.090	     0.006	    -0.158	
   452	 1.883	     0.090	     0.006	    -0.158	
   453	 1.888	     0.090	     0.006	    -0.158	
   454	 1.892	     0.090	     0.006	    -0.158	
   455	 1.896	     0.090	     0.006	    -0.158	
   456	 1.900	     0.090	     0.006	    -0.158	
   457	 1.904	     0.090	     0.006	    -0.158	
   458	 1.908	     0.090	     0.006	    -0.158	
   459	 1.913	     0.090	     0.006	    -0.158	
   460	 1.917	     0.090	     0.006	    -0.158	
   461	 1.921	     0.090	     0.006	    -0.158	
