BTS ASCII format

Type:         	Force 3D tracks
Measure unit: 	N

Tracks:       	2
Frequency:    	240 Hz
Frames:       	2737
Start time:   	0.000

 Frame	  Time	    r gr.X	    r gr.Y	    r gr.Z	    l gr.X	    l gr.Y	    l gr.Z	
   250	 1.042	    22.965	   246.522	    -0.067	     1.257	   288.642	     6.275	
   251	 1.046	    22.970	   247.042	     0.476	    -0.353	   287.908	     5.179	
   252	 1.050	    22.969	   246.782	     0.474	     1.260	   289.148	     6.279	
   253	 1.054	    23.500	   246.000	    -0.073	     1.257	   288.647	     6.275	
   254	 1.058	    22.968	   246.523	     0.471	     0.727	   289.152	     5.736	
   255	 1.063	    23.499	   245.740	    -0.076	     1.804	   288.650	     5.204	
   256	 1.067	    23.505	   246.784	    -0.067	     0.185	   288.654	     5.728	
   257	 1.071	    24.042	   246.252	     0.464	     1.260	   289.149	     6.279	
   258	 1.075	    23.503	   246.524	    -0.069	     0.722	   288.398	     5.730	
   259	 1.079	    24.041	   246.521	    -0.071	     0.725	   288.903	     5.734	
   260	 1.083	    23.500	   246.000	    -0.073	     1.265	   289.900	     6.285	
   261	 1.087	    22.959	   245.747	    -0.611	     2.336	   289.888	     6.832	
   262	 1.092	    22.965	   246.527	    -0.066	     1.272	   289.659	     5.207	
   263	 1.096	    23.500	   246.000	    -0.073	     1.796	   288.893	     6.282	
   264	 1.100	    23.502	   246.259	    -0.071	     0.727	   289.153	     5.736	
   265	 1.104	    24.040	   246.256	    -0.074	     0.728	   289.409	     5.738	
   266	 1.108	    22.959	   245.747	    -0.611	     1.261	   289.400	     6.281	
   267	 1.112	    22.961	   245.743	    -0.073	     1.806	   289.653	     5.750	
   268	 1.117	    23.503	   246.524	    -0.069	     0.192	   289.658	     5.736	
   269	 1.121	    22.963	   245.738	     0.465	     0.736	   290.665	     5.748	
   270	 1.125	    22.419	   245.490	    -0.611	     1.265	   289.151	     5.741	
   271	 1.129	    22.955	   244.698	    -0.082	     0.199	   290.168	     5.202	
   272	 1.133	    22.966	   246.263	     0.469	     0.744	   290.419	     4.671	
   273	 1.138	    22.958	   245.223	    -0.078	     1.799	   290.144	     6.829	
   274	 1.142	    22.953	   244.708	    -0.620	     1.272	   290.407	     5.751	
   275	 1.146	    23.499	   245.216	     0.458	     1.268	   290.403	     6.289	
   276	 1.150	    23.499	   245.216	     0.458	     1.806	   291.149	     6.838	
   277	 1.154	    22.954	   244.963	    -0.618	     1.806	   291.145	     6.838	
   278	 1.158	    22.959	   244.959	     0.458	     1.277	   291.910	     6.301	
   279	 1.163	    22.959	   244.959	     0.458	     2.348	   291.148	     6.304	
   280	 1.167	    22.956	   244.434	     0.454	     0.731	   290.657	     6.286	
   281	 1.171	    22.414	   244.182	    -0.084	     0.739	   291.160	     5.752	
   282	 1.175	    22.419	   244.966	    -0.078	     0.741	   291.412	     5.754	
   283	 1.179	    22.411	   243.927	    -0.624	     1.276	   291.654	     6.299	
   284	 1.183	    22.412	   243.663	    -0.089	     0.204	   291.665	     5.752	
   285	 1.188	    22.415	   244.187	    -0.084	     1.816	   291.405	     5.764	
   286	 1.192	    23.497	   244.962	     0.456	     0.738	   290.911	     5.750	
   287	 1.196	    23.487	   243.133	     0.440	     0.733	   291.651	     6.832	
   288	 1.200	    22.948	   243.405	    -0.093	     0.204	   291.665	     5.752	
   289	 1.204	    22.951	   243.401	     0.445	     1.271	   291.650	     6.837	
   290	 1.208	    22.410	   242.878	     0.443	     1.806	   291.893	     7.382	
   291	 1.212	    22.952	   243.655	     0.447	     1.820	   291.905	     5.768	
   292	 1.217	    22.406	   242.635	    -0.098	     0.742	   291.658	     5.756	
   293	 1.221	    22.948	   242.881	     0.440	     1.807	   291.396	     6.840	
   294	 1.225	    21.867	   242.896	    -0.631	     0.741	   291.412	     5.754	
   295	 1.229	    22.940	   242.366	    -0.640	     1.807	   291.391	     6.839	
   296	 1.233	    22.948	   242.881	     0.440	     1.812	   292.146	     6.846	
   297	 1.237	    22.402	   241.844	    -0.104	     1.813	   291.650	     6.304	
   298	 1.242	    22.943	   242.361	    -0.102	     1.282	   291.905	     5.763	
   299	 1.246	    22.942	   242.631	    -0.638	     1.806	   291.891	     7.381	
   300	 1.250	    22.946	   242.622	     0.438	     1.812	   292.146	     6.846	
   301	 1.254	    23.485	   242.624	     0.436	     0.204	   291.660	     5.752	
   302	 1.258	    22.941	   242.101	    -0.105	     0.204	   292.412	     6.296	
   303	 1.263	    22.944	   242.626	    -0.100	     2.883	   292.880	     7.937	
   304	 1.267	    22.402	   241.845	    -0.104	     1.279	   292.149	     6.303	
   305	 1.271	    23.482	   242.094	     0.431	     1.279	   292.150	     6.303	
   306	 1.275	    22.948	   242.881	     0.440	     0.744	   292.653	     6.302	
   307	 1.279	    23.482	   242.099	     0.431	     0.742	   293.153	     6.844	
   308	 1.283	    23.487	   243.144	     0.440	     1.821	   293.646	     6.858	
   309	 1.288	    23.484	   242.619	     0.436	     2.356	   292.393	     6.314	
   310	 1.292	    23.485	   242.624	     0.436	     2.358	   293.393	     6.860	
   311	 1.296	    22.941	   242.107	    -0.104	     0.753	   293.409	     5.770	
   312	 1.300	    22.406	   242.105	     0.436	     1.293	   293.657	     5.777	
   313	 1.304	    23.482	   242.099	     0.431	     1.285	   293.896	     6.855	
   314	 1.308	    22.401	   241.321	     0.429	     1.294	   293.905	     5.779	
   315	 1.313	    22.942	   241.843	     0.431	     1.834	   294.152	     5.786	
   316	 1.317	    22.405	   242.369	    -0.100	     1.826	   293.647	     6.319	
   317	 1.321	    22.937	   241.322	    -0.111	     1.288	   294.399	     6.859	
   318	 1.325	    22.407	   242.370	     0.438	     1.834	   294.152	     5.786	
   319	 1.329	    22.936	   241.063	    -0.113	     1.285	   293.895	     6.855	
   320	 1.333	    22.403	   242.110	    -0.102	     1.827	   294.648	     6.866	
   321	 1.337	    22.395	   241.076	    -0.649	     1.827	   294.648	     6.866	
   322	 1.342	    22.404	   241.845	     0.434	     1.824	   294.895	     7.405	
   323	 1.346	    22.941	   241.583	     0.429	     1.829	   294.146	     6.323	
   324	 1.350	    22.941	   241.583	     0.429	     1.824	   294.142	     6.861	
   325	 1.354	    22.942	   241.848	     0.431	     1.290	   294.651	     6.861	
   326	 1.358	    22.395	   241.070	    -0.649	     1.829	   294.898	     6.868	
   327	 1.362	    22.398	   241.071	    -0.111	     2.902	   294.386	     6.873	
   328	 1.367	    22.938	   241.064	     0.425	     0.752	   294.654	     6.856	
   329	 1.371	    22.933	   241.073	    -0.651	     1.293	   294.405	     6.321	
   330	 1.375	    23.479	   241.580	     0.427	     2.896	   294.131	     7.409	
   331	 1.379	    23.474	   241.065	    -0.116	     1.290	   294.647	     6.861	
   332	 1.383	    22.938	   241.063	     0.425	     1.831	   295.147	     6.870	
   333	 1.388	    22.937	   240.804	     0.422	     2.365	   294.643	     6.870	
   334	 1.392	    22.395	   240.552	    -0.115	     1.293	   295.150	     6.865	
   335	 1.396	    22.397	   240.547	     0.423	     0.756	   294.655	     6.318	
   336	 1.400	    23.473	   240.541	     0.418	     1.290	   294.647	     6.861	
   337	 1.404	    22.937	   240.804	     0.422	     1.286	   294.892	     7.401	
   338	 1.408	    22.937	   240.804	     0.422	     1.299	   295.406	     6.329	
   339	 1.413	    22.938	   241.064	     0.425	     2.908	   295.390	     6.881	
   340	 1.417	    21.858	   240.285	     0.423	     1.294	   295.401	     6.867	
   341	 1.421	    21.858	   240.285	     0.423	     0.756	   295.404	     6.862	
   342	 1.425	    22.941	   241.588	     0.429	     1.827	   294.644	     6.865	
