BTS ASCII format

Type:         	Point 3D tracks
Measure unit: 	m

Tracks:       	1
Frequency:    	240 Hz
Frames:       	2737
Start time:   	0.000

 Frame	  Time	    r gr.X	    r gr.Y	    r gr.Z	
   229	 0.954	    -0.093	     0.008	    -0.176	
   230	 0.958	    -0.093	     0.008	    -0.175	
   231	 0.962	    -0.093	     0.008	    -0.175	
   232	 0.967	    -0.093	     0.008	    -0.175	
   233	 0.971	    -0.092	     0.008	    -0.175	
   234	 0.975	    -0.092	     0.008	    -0.175	
   235	 0.979	    -0.093	     0.008	    -0.174	
   236	 0.983	    -0.092	     0.008	    -0.175	
   237	 0.988	    -0.093	     0.008	    -0.174	
   238	 0.992	    -0.093	     0.008	    -0.174	
   239	 0.996	    -0.093	     0.008	    -0.174	
   240	 1.000	    -0.092	     0.008	    -0.173	
   241	 1.004	    -0.093	     0.008	    -0.174	
   242	 1.008	    -0.092	     0.008	    -0.174	
   243	 1.013	    -0.092	     0.008	    -0.174	
   244	 1.017	    -0.092	     0.008	    -0.174	
   245	 1.021	    -0.092	     0.008	    -0.174	
   246	 1.025	    -0.093	     0.008	    -0.174	
   247	 1.029	    -0.092	     0.008	    -0.173	
   248	 1.033	    -0.092	     0.008	    -0.173	
   249	 1.038	    -0.092	     0.008	    -0.173	
   250	 1.042	    -0.093	     0.008	    -0.173	
   251	 1.046	    -0.093	     0.008	    -0.173	
   252	 1.050	    -0.093	     0.008	    -0.173	
   253	 1.054	    -0.092	     0.008	    -0.173	
   254	 1.058	    -0.093	     0.008	    -0.173	
   255	 1.063	    -0.092	     0.008	    -0.173	
   256	 1.067	    -0.093	     0.008	    -0.173	
   257	 1.071	    -0.092	     0.008	    -0.173	
   258	 1.075	    -0.093	     0.008	    -0.173	
   259	 1.079	    -0.093	     0.008	    -0.173	
   260	 1.083	    -0.092	     0.008	    -0.173	
   261	 1.087	    -0.093	     0.008	    -0.172	
   262	 1.092	    -0.093	     0.008	    -0.173	
   263	 1.096	    -0.092	     0.008	    -0.173	
   264	 1.100	    -0.093	     0.008	    -0.173	
   265	 1.104	    -0.092	     0.008	    -0.172	
   266	 1.108	    -0.093	     0.008	    -0.172	
   267	 1.112	    -0.093	     0.008	    -0.172	
   268	 1.117	    -0.093	     0.008	    -0.172	
   269	 1.121	    -0.093	     0.008	    -0.172	
   270	 1.125	    -0.093	     0.008	    -0.172	
   271	 1.129	    -0.092	     0.008	    -0.172	
   272	 1.133	    -0.093	     0.008	    -0.172	
   273	 1.138	    -0.092	     0.008	    -0.173	
   274	 1.142	    -0.093	     0.008	    -0.172	
   275	 1.146	    -0.093	     0.008	    -0.172	
   276	 1.150	    -0.093	     0.008	    -0.173	
   277	 1.154	    -0.092	     0.008	    -0.172	
   278	 1.158	    -0.093	     0.008	    -0.173	
   279	 1.163	    -0.093	     0.008	    -0.172	
   280	 1.167	    -0.092	     0.008	    -0.172	
   281	 1.171	    -0.093	     0.008	    -0.172	
   282	 1.175	    -0.093	     0.008	    -0.172	
   283	 1.179	    -0.092	     0.008	    -0.172	
   284	 1.183	    -0.092	     0.008	    -0.172	
   285	 1.188	    -0.093	     0.008	    -0.172	
   286	 1.192	    -0.093	     0.008	    -0.173	
   287	 1.196	    -0.092	     0.008	    -0.172	
   288	 1.200	    -0.093	     0.008	    -0.172	
   289	 1.204	    -0.092	     0.008	    -0.173	
   290	 1.208	    -0.093	     0.008	    -0.172	
   291	 1.212	    -0.093	     0.008	    -0.172	
   292	 1.217	    -0.093	     0.008	    -0.173	
   293	 1.221	    -0.093	     0.008	    -0.173	
   294	 1.225	    -0.093	     0.008	    -0.172	
   295	 1.229	    -0.092	     0.008	    -0.172	
   296	 1.233	    -0.093	     0.008	    -0.172	
   297	 1.237	    -0.093	     0.008	    -0.172	
   298	 1.242	    -0.092	     0.008	    -0.172	
   299	 1.246	    -0.093	     0.008	    -0.173	
   300	 1.250	    -0.093	     0.008	    -0.172	
   301	 1.254	    -0.093	     0.008	    -0.174	
   302	 1.258	    -0.092	     0.008	    -0.172	
   303	 1.263	    -0.093	     0.008	    -0.173	
   304	 1.267	    -0.092	     0.008	    -0.172	
   305	 1.271	    -0.092	     0.008	    -0.172	
   306	 1.275	    -0.093	     0.008	    -0.173	
   307	 1.279	    -0.092	     0.008	    -0.173	
   308	 1.283	    -0.093	     0.008	    -0.174	
   309	 1.288	    -0.093	     0.008	    -0.173	
